City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
30,olafsvik,64.8945,-23.7142,25.72,68,100,38.88,IS,1674373060
31,varnavino,57.4035,45.0916,17.87,91,100,4.97,RU,1674373061
32,ponta do sol,32.6667,-17.1,63.72,70,69,8.66,PT,1674373061
33,hit,33.6416,42.8251,59.86,43,0,4.52,IQ,1674373062
34,touros,-5.1989,-35.4608,77.38,84,51,7.18,BR,1674373063
35,punta arenas,-53.15,-70.9167,42.91,75,0,4.61,CL,1674373064
36,olinda,-8.0089,-34.8553,80.33,74,40,3.44,BR,1674373065
37,leningradskiy,69.3833,178.4167,-37.8,90,9,3.58,RU,1674373066
38,thai binh,20.45,106.3333,69.66,74,100,7.78,VN,1674373066
39,castro,-24.7911,-50.0119,62.04,92,28,2.39,BR,1674373067
40,matara,5.9485,80.5353,79.93,72,98,7.67,LK,1674373068
41,cherskiy,68.75,161.3,-48.57,98,37,2.95,RU,1674373069
42,mataura,-46.1927,168.8643,51.57,95,49,3.89,NZ,1674373070
43,jamestown,42.097,-79.2353,31.59,86,100,6.91,US,1674373070
44,dunedin,-45.8742,170.5036,55.8,71,97,5.99,NZ,1674373072
45,ballina,-28.8667,153.5667,77.02,77,16,9.44,AU,1674373073
46,hobart,-42.8794,147.3294,67.86,68,40,8.05,AU,1674372828
47,mahebourg,-20.4081,57.7,84.25,74,75,12.66,MU,1674373074
48,mareeba,-17.0,145.4333,81.45,78,54,5.95,AU,1674373075
49,cidreira,-30.1811,-50.2056,71.78,89,100,5.77,BR,1674373076
50,dikson,73.5069,80.5464,0.68,93,100,25.5,RU,1674373077
51,mitsamiouli,-11.3847,43.2844,78.96,84,100,18.72,KM,1674373078
52,bandarbeyla,9.4942,50.8122,77.86,63,73,21.18,SO,1674373079
53,plainview,40.7765,-73.4673,37.89,70,100,3.44,US,1674373080
54,zhaotong,27.3167,103.7167,47.8,39,3,0.85,CN,1674373081
55,hun,29.1268,15.9477,55.85,18,8,6.49,LY,1674373047
56,busselton,-33.65,115.3333,86.97,40,0,8.37,AU,1674373082
57,pevek,69.7008,170.3133,-39.69,100,66,4.59,RU,1674373083
58,narsaq,60.9167,-46.05,-1.98,63,47,11.1,GL,1674373084
59,avarua,-21.2078,-159.775,75.25,88,100,2.3,CK,1674373085
60,homer,59.6425,-151.5483,24.69,80,0,5.75,US,1674372918
61,coihaique,-45.5752,-72.0662,53.55,82,40,2.3,CL,1674373086
62,upernavik,72.7868,-56.1549,-27.02,67,9,7.56,GL,1674373088
63,mount isa,-20.7333,139.5,98.37,13,11,5.75,AU,1674373089
64,yellowknife,62.456,-114.3525,14.52,85,100,9.22,CA,1674373090
65,kapaa,22.0752,-159.319,73.38,93,100,6.91,US,1674373091
66,boa vista,2.8197,-60.6733,75.18,83,75,10.36,BR,1674373092
67,khatanga,71.9667,102.5,-35.41,80,76,3.18,RU,1674373093
68,pangnirtung,66.1451,-65.7125,2.73,98,100,2.68,CA,1674373093
69,vavuniya,8.7514,80.4971,77.07,72,100,5.61,LK,1674373094
70,honiara,-9.4333,159.95,80.37,81,88,1.7,SB,1674373095
71,kruisfontein,-34.0033,24.7314,72.88,51,29,14.61,ZA,1674373096
72,hasaki,35.7333,140.8333,46.29,75,100,9.8,JP,1674373097
73,hofn,64.2539,-15.2082,36.64,70,55,36.17,IS,1674373098
74,gambo,4.6482,22.2633,85.42,26,100,2.37,CF,1674373099
75,beringovskiy,63.05,179.3167,-2.45,95,100,13.91,RU,1674373100
76,cabo san lucas,22.8909,-109.9124,58.6,63,0,4.09,MX,1674373011
77,huarmey,-10.0681,-78.1522,69.28,84,94,3.91,PE,1674373102
78,kodiak,57.79,-152.4072,27.91,80,100,3.44,US,1674373103
79,saskylakh,71.9167,114.0833,-34.38,90,99,3.36,RU,1674373103
80,sterling,39.0062,-77.4286,34.59,85,75,0.0,US,1674372931
81,morondava,-20.2833,44.2833,83.34,63,99,4.94,MG,1674373105
82,sudzha,51.1976,35.2726,30.97,76,93,8.48,RU,1674373106
83,vardo,70.3705,31.1107,31.15,83,100,26.82,NO,1674373107
84,zhanaozen,43.3,52.8,35.65,58,3,17.63,KZ,1674373108
85,parsons,37.3403,-95.2611,37.27,99,100,9.26,US,1674372832
86,manyana,-23.4,21.7167,86.34,30,26,10.96,BW,1674373109
87,hilo,19.7297,-155.09,76.28,84,40,5.75,US,1674373110
88,katsuura,35.1333,140.3,44.74,83,100,11.92,JP,1674373111
89,kiama,-34.6833,150.8667,71.58,81,100,8.03,AU,1674373112
90,saldanha,-33.0117,17.9442,73.45,80,92,12.97,ZA,1674373089
91,souillac,-20.5167,57.5167,82.78,74,75,12.66,MU,1674373113
92,andrews,32.3187,-102.5457,33.06,59,0,6.91,US,1674373105
93,krasnoselkup,65.7,82.4667,-2.04,96,100,19.53,RU,1674373115
94,college,64.8569,-147.8028,-7.28,77,40,4.61,US,1674373080
95,carnarvon,-24.8667,113.6333,78.31,72,3,21.74,AU,1674373116
96,la rioja,42.25,-2.5,24.58,95,15,5.23,ES,1674373118
97,marechal deodoro,-9.7103,-35.895,72.81,86,17,6.26,BR,1674373119
98,norman wells,65.282,-126.8329,-5.76,84,75,0.0,CA,1674373119
99,port alfred,-33.5906,26.891,74.17,92,100,5.01,ZA,1674373120
100,trumbull,41.3167,-80.7665,33.19,67,100,7.0,US,1674373121
101,yumen,40.2833,97.2,16.45,57,98,23.91,CN,1674373122
102,mandera,3.9366,41.867,90.54,26,85,16.62,KE,1674373123
103,bulawayo,-20.15,28.5833,79.2,39,98,7.54,ZW,1674373124
104,port elizabeth,-33.918,25.5701,75.49,82,75,20.71,ZA,1674373124
105,lebu,-37.6167,-73.65,56.61,93,0,11.01,CL,1674373125
106,qaanaaq,77.484,-69.3632,-30.87,64,71,6.8,GL,1674373126
107,kannur,11.8675,75.3576,84.33,51,36,11.7,IN,1674373127
108,mugur-aksy,50.35,90.5,-7.74,59,0,5.66,RU,1674373128
109,apache junction,33.4151,-111.5496,43.93,70,0,4.61,US,1674372871
110,daru,-9.0763,143.2092,81.3,82,98,7.56,PG,1674373130
111,alice springs,-23.7,133.8833,92.75,40,11,12.66,AU,1674373130
112,lisakovsk,52.5369,62.4936,20.75,82,11,6.87,KZ,1674373131
113,puerto ayora,-0.7393,-90.3518,73.54,97,44,4.25,EC,1674373132
114,udachnyy,66.4167,112.4,-35.93,97,99,2.53,RU,1674373133
115,faya,18.3851,42.4509,62.71,33,0,6.26,SA,1674373134
116,san patricio,28.017,-97.5169,58.84,90,0,6.33,US,1674373136
117,port hedland,-20.3167,118.5667,93.25,55,11,16.11,AU,1674373137
118,lerwick,60.1545,-1.1494,44.6,92,100,30.76,GB,1674373138
119,povenets,62.8487,34.8262,10.49,100,98,1.61,RU,1674373139
120,ostrovnoy,68.0531,39.5131,25.84,76,100,23.17,RU,1674373140
121,norfolk,42.1668,-71.2495,30.63,82,100,4.61,US,1674373141
122,muros,42.7762,-9.0603,39.83,88,74,9.89,ES,1674373142
123,sapele,5.8941,5.6767,84.43,66,26,3.22,NG,1674373143
124,barrow,71.2906,-156.7887,-0.38,78,100,16.11,US,1674373144
125,caceres,39.522,-6.3748,34.77,75,4,4.59,ES,1674373145
126,deer lake,49.1667,-57.4316,24.66,74,100,4.61,CA,1674373146
127,thompson,55.7435,-97.8558,5.16,85,100,2.3,CA,1674373122
128,bluff,-46.6,168.3333,55.17,70,77,10.65,NZ,1674373148
129,butaritari,3.0707,172.7902,81.16,75,100,15.37,KI,1674373150
130,bredasdorp,-34.5322,20.0403,68.88,73,100,5.59,ZA,1674372854
131,xichang,27.8964,102.2634,62.11,29,7,4.81,CN,1674373152
132,colon,9.3592,-79.9014,75.36,94,8,1.01,PA,1674373153
133,kahului,20.8947,-156.47,72.84,76,0,4.61,US,1674373154
134,camacha,33.0833,-16.3333,58.42,67,40,13.8,PT,1674373155
135,ilulissat,69.2167,-51.1,-11.18,49,100,10.36,GL,1674373156
136,georgetown,5.4112,100.3354,82.35,84,40,4.61,MY,1674373079
